scheme,method,score
learned_maxmin,P4_staged_integrated,0.41320238243959295
learned_maxmin,P1_regime_first_inference_core,0.35707070707070704
learned_maxmin,P2_replication_constrained_fdr,0.7528888899102821
learned_maxmin,P3_partial_identification_robustness,0.9027777777777778
learned_maxmin,unconstrained_end_to_end_predictive_pipeline,0.09762834198466958
learned_maxmin,global_null_screen_only,0.34545454545454546
fixed_historical,P4_staged_integrated,0.5223709342401488
fixed_historical,P1_regime_first_inference_core,0.2851515151515151
fixed_historical,P2_replication_constrained_fdr,0.770862501225672
fixed_historical,P3_partial_identification_robustness,0.9416666666666665
fixed_historical,unconstrained_end_to_end_predictive_pipeline,0.05890190100075964
fixed_historical,global_null_screen_only,0.24454545454545457
equal_weight,P4_staged_integrated,0.41320238243959295
equal_weight,P1_regime_first_inference_core,0.35707070707070704
equal_weight,P2_replication_constrained_fdr,0.7528888899102821
equal_weight,P3_partial_identification_robustness,0.9027777777777778
equal_weight,unconstrained_end_to_end_predictive_pipeline,0.09762834198466958
equal_weight,global_null_screen_only,0.34545454545454546
