gamma_mode,Gamma,sign_identified_fraction,theorem_mismatch_rate
proxy_envelope,0.0,1.0,0.0
proxy_envelope,0.25,0.10204081632653061,0.0
proxy_envelope,0.5,0.061224489795918366,0.0
proxy_envelope,0.75,0.04081632653061224,0.0
proxy_envelope,1.0,0.02040816326530612,0.0
proxy_envelope,1.5,0.0,0.0
proxy_envelope,2.0,0.0,0.0
percentile_cap,0.0,1.0,0.0
percentile_cap,0.25,0.10204081632653061,0.0
percentile_cap,0.5,0.061224489795918366,0.0
percentile_cap,0.75,0.04081632653061224,0.0
percentile_cap,1.0,0.04081632653061224,0.0
percentile_cap,1.5,0.02040816326530612,0.0
percentile_cap,2.0,0.0,0.0
stress_multiplier,0.0,1.0,0.0
stress_multiplier,0.25,0.08163265306122448,0.0
stress_multiplier,0.5,0.04081632653061224,0.0
stress_multiplier,0.75,0.02040816326530612,0.0
stress_multiplier,1.0,0.02040816326530612,0.0
stress_multiplier,1.5,0.0,0.0
stress_multiplier,2.0,0.0,0.0
